# Geant4→SSD 信号模拟 — noscratch — 每事件一行
# event_id  n_hits  r_mm  z_mm  edep_keV  emeas_keV
321  7  3.138  8.817  121.9999  121.9999
323  8  13.286  3.059  122.0001  122.0001
325  3  13.316  0.297  13.1359  13.1359
328  3  3.985  6.273  4.4773  4.4773
329  9  10.933  0.83  122.0001  122.0001
330  7  4.989  1.591  122.0  122.0
331  7  6.252  2.015  122.0  122.0001
333  3  9.168  4.797  10.569  10.569
334  8  14.799  0.952  122.0001  122.0001
336  8  7.11  3.848  121.9999  122.0
337  7  14.584  4.258  122.0  122.0
338  3  1.222  2.111  39.3568  39.3568
339  5  13.615  3.247  122.0  122.0
340  5  11.19  4.665  122.0  122.0
341  10  6.507  2.351  122.0  122.0
342  5  11.526  2.421  122.0  122.0
345  5  9.871  1.457  122.0001  122.0001
346  9  7.823  0.656  121.9999  121.9999
348  8  10.273  3.591  122.0  122.0
349  6  14.279  1.414  122.0001  122.0001
350  11  5.414  4.815  122.0001  122.0001
351  5  6.236  0.542  122.0001  122.0001
352  5  10.283  4.168  122.0  122.0
354  6  12.474  1.176  121.9999  122.0
355  13  13.386  4.369  122.0  122.0
359  5  2.542  1.972  122.0  122.0
360  11  12.197  6.837  122.0  122.0
361  7  6.924  0.25  122.0  122.0
362  6  14.182  1.258  121.9999  122.0
364  10  12.2  9.148  122.0  122.0
365  6  5.551  2.006  122.0  122.0
366  7  5.228  6.204  122.0  122.0
367  3  14.793  9.426  8.9485  8.871
368  8  9.347  1.147  122.0001  122.0001
369  5  14.321  4.079  122.0  122.0
371  9  3.183  2.822  122.0  122.0
375  8  7.093  2.325  122.0001  122.0001
376  3  9.289  0.851  24.2241  24.2241
377  8  6.299  6.226  122.0001  122.0001
378  7  5.497  5.813  122.0001  122.0001
380  6  7.77  2.338  122.0  122.0
381  6  6.588  0.642  121.9999  121.9999
383  4  5.329  4.991  122.0  122.0001
384  5  12.909  0.624  122.0  122.0
385  10  10.774  8.701  122.0  122.0
386  5  12.783  1.824  121.9999  121.9999
387  13  8.592  1.26  121.9999  121.9999
388  6  6.15  0.984  122.0001  122.0001
390  7  9.323  0.999  122.0  122.0
391  6  12.685  5.591  121.9999  122.0
394  11  8.038  3.374  121.9999  121.9999
395  5  9.687  1.008  122.0001  122.0001
397  9  6.131  7.875  122.0  122.0
398  7  13.184  3.389  122.0001  122.0001
399  11  11.14  3.689  122.0001  122.0001
400  8  3.402  4.843  122.0001  122.0001
402  6  11.343  1.891  122.0  122.0
403  7  11.705  0.421  122.0001  122.0001
404  9  3.302  5.288  122.0  122.0
405  3  11.686  1.895  41.6915  41.6915
407  8  3.691  6.854  122.0001  122.0001
409  3  14.748  3.09  2.0667  2.0667
410  8  9.859  0.944  121.9999  121.9999
411  8  14.524  6.654  122.0  122.0
412  6  12.646  3.047  121.9999  121.9999
413  8  8.111  2.08  122.0001  122.0001
414  3  14.178  0.92  24.1312  24.1312
415  8  7.361  0.568  122.0  122.0
416  8  6.128  8.311  122.0001  122.0001
417  12  7.595  2.685  122.0001  122.0001
418  3  10.919  5.446  27.6484  27.6484
419  3  13.571  0.558  20.2332  20.2332
420  5  5.188  4.678  122.0  122.0
421  8  6.6  7.41  121.9999  121.9999
422  8  11.259  0.256  122.0  122.0
423  4  9.733  2.645  122.0  122.0
425  10  6.435  2.278  122.0  122.0
428  5  5.443  1.126  122.0  122.0
430  5  6.637  0.772  121.9999  122.0
431  7  5.413  2.208  122.0  122.0
432  5  7.544  6.581  121.9999  121.9999
433  8  7.077  6.384  122.0  122.0
434  11  14.559  1.165  121.9999  121.9999
435  2  13.82  3.078  1.3178  1.3178
436  6  9.274  0.422  121.9999  122.0
437  9  8.335  7.497  122.0  122.0
438  6  9.022  0.628  121.9999  121.9999
439  9  4.973  0.209  122.0  122.0001
440  6  12.281  4.526  122.0001  122.0001
441  5  1.981  3.379  122.0  122.0
442  6  13.005  2.152  122.0  122.0001
443  8  10.663  2.539  122.0  122.0001
445  4  5.015  4.96  121.9999  121.9999
446  8  8.071  2.603  122.0001  122.0001
